PRODUCTNAME,CATEGORY,MONTH,MONTHLYREVENUE,MONTHLYREVENUERANK,PREVIOUSMONTHSREVENUE,FIRSTMONTHREVENUE,TOTALREVENUE
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2016-02-01,188.50,453,,188.50,188.50
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2018-07-01,188.50,515,188.50,188.50,377.00
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2018-11-01,1319.50,285,188.50,188.50,1696.50
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2019-01-01,2450.50,222,1319.50,188.50,4147.00
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2019-05-01,377.00,603,2450.50,188.50,4524.00
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2019-06-01,565.50,476,377.00,188.50,5089.50
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2019-10-01,188.50,807,565.50,188.50,5278.00
A. Datum Advanced Digital Camera M300 Azure,Cameras and camcorders,2020-01-01,565.50,622,188.50,188.50,5843.50
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2016-06-01,188.50,356,,188.50,188.50
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2017-03-01,1508.00,60,188.50,188.50,1696.50
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2018-02-01,377.00,487,1508.00,188.50,2073.50
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2018-12-01,377.00,747,377.00,188.50,2450.50
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2019-10-01,942.50,425,377.00,188.50,3393.00
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2019-12-01,1131.00,514,942.50,188.50,4524.00
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2020-03-01,565.50,250,1131.00,188.50,5089.50
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2020-04-01,188.50,130,565.50,188.50,5278.00
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2020-11-01,754.00,101,188.50,188.50,6032.00
A. Datum Advanced Digital Camera M300 Black,Cameras and camcorders,2021-02-01,377.00,250,754.00,188.50,6409.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2018-09-01,565.50,398,,565.50,565.50
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2018-10-01,565.50,449,565.50,565.50,1131.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2018-12-01,377.00,747,565.50,565.50,1508.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2019-02-01,377.00,713,377.00,565.50,1885.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2019-03-01,377.00,373,377.00,565.50,2262.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2019-06-01,188.50,723,377.00,565.50,2450.50
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2019-09-01,942.50,405,188.50,565.50,3393.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2019-10-01,1319.50,331,942.50,565.50,4712.50
